Date,Boro,Vol
2009-05-08,Brooklyn,29543.0
2009-05-08,Queens,1592.0
2009-05-09,Brooklyn,20763.0
2009-05-09,Manhattan,1992.0
2009-05-09,Queens,1342.0
2009-05-10,Brooklyn,25448.0
2009-05-10,Manhattan,2315.0
2009-05-10,Queens,1380.0
2009-05-11,Brooklyn,25623.0
2009-05-11,Manhattan,2058.0
2009-05-11,Queens,1502.0
2009-05-12,Brooklyn,26541.0
2009-05-12,Manhattan,2183.0
2009-05-12,Queens,477.0
2009-05-13,Brooklyn,29306.0
2009-05-13,Manhattan,1091.0
2009-05-13,Queens,1.0
2009-05-14,Brooklyn,29429.0
2009-05-15,Brooklyn,30463.0
2009-05-16,Brooklyn,23065.0
2009-05-17,Brooklyn,25526.0
2009-05-18,Bronx,16128.0
2009-05-18,Brooklyn,23995.0
2009-05-18,Manhattan,1145.0
2009-05-19,Bronx,21450.0
2009-05-19,Brooklyn,6989.0
2009-05-20,Bronx,23652.0
2009-05-21,Bronx,23486.0
2009-05-22,Bronx,22798.0
2009-05-23,Bronx,18873.0
2009-05-24,Bronx,17196.0
2009-05-25,Bronx,16435.0
2009-05-26,Bronx,5581.0
2009-05-26,Brooklyn,7806.0
2009-05-26,Manhattan,3371.0
2009-05-27,Brooklyn,13219.0
2009-05-28,Brooklyn,14987.0
2009-05-28,Queens,1777.0
2009-05-29,Brooklyn,12468.0
2009-05-29,Queens,5186.0
2009-05-30,Brooklyn,8358.0
2009-05-30,Queens,1235.0
2009-05-30,Staten Island,41093.0
2009-05-31,Brooklyn,5736.0
2009-05-31,Staten Island,37565.0
2009-06-01,Brooklyn,7652.0
2009-06-01,Staten Island,44471.0
2009-06-02,Brooklyn,7558.0
2009-06-02,Staten Island,44362.0
2009-06-03,Brooklyn,7336.0
2009-06-03,Staten Island,35460.0
2009-06-04,Brooklyn,7311.0
2009-06-04,Staten Island,39017.0
2009-06-05,Brooklyn,7844.0
2009-06-05,Staten Island,39742.0
2009-06-06,Brooklyn,7909.0
2009-06-06,Staten Island,44921.0
2009-06-07,Brooklyn,6576.0
2009-06-07,Staten Island,22390.0
2009-06-08,Brooklyn,13288.0
2009-06-08,Queens,4271.0
2009-06-08,Staten Island,1653.0
2009-06-09,Brooklyn,14031.0
2009-06-09,Queens,5053.0
2009-06-10,Brooklyn,13788.0
2009-06-10,Queens,5690.0
2009-06-11,Brooklyn,13328.0
2009-06-11,Queens,5533.0
2009-06-12,Brooklyn,11829.0
2009-06-12,Queens,519.0
2009-06-13,Brooklyn,11197.0
2009-06-14,Brooklyn,9564.0
2009-06-15,Brooklyn,10715.0
2009-06-15,Queens,614.0
2009-06-16,Brooklyn,6785.0
2009-06-16,Queens,8652.0
2009-06-17,Brooklyn,2997.0
2009-06-17,Queens,12047.0
2009-06-18,Brooklyn,4022.0
2009-06-18,Queens,11176.0
2009-06-19,Brooklyn,7816.0
2009-06-19,Queens,12881.0
2009-06-20,Brooklyn,6654.0
2009-06-20,Queens,10726.0
2009-06-21,Brooklyn,5867.0
2009-06-21,Queens,8529.0
2009-06-22,Brooklyn,26885.0
2009-06-22,Queens,1575.0
2009-06-23,Brooklyn,27664.0
2009-06-24,Brooklyn,6944.0
2009-06-24,Staten Island,12422.0
2009-06-25,Staten Island,17243.0
2009-06-26,Staten Island,17137.0
2009-06-27,Staten Island,16113.0
2009-06-28,Staten Island,13649.0
2009-06-29,Staten Island,15566.0
2009-06-30,Staten Island,15816.0
2009-07-01,Staten Island,16105.0
2009-07-02,Staten Island,16827.0
2009-07-03,Staten Island,15048.0
2009-07-04,Staten Island,13376.0
2009-07-05,Staten Island,11767.0
2009-07-06,Brooklyn,2727.0
2009-07-06,Queens,1234.0
2009-07-06,Staten Island,3244.0
2009-07-07,Brooklyn,1498.0
2009-07-07,Queens,180.0
2009-07-07,Staten Island,12265.0
2009-07-08,Staten Island,16001.0
2009-07-09,Staten Island,16027.0
2009-07-10,Staten Island,15967.0
2009-07-11,Staten Island,12053.0
2009-07-12,Staten Island,10425.0
2009-07-13,Staten Island,15833.0
2009-07-14,Brooklyn,2656.0
2009-07-14,Staten Island,9080.0
2009-07-15,Brooklyn,3420.0
2009-07-15,Staten Island,8444.0
2009-07-16,Brooklyn,3467.0
2009-07-16,Staten Island,8741.0
2009-07-17,Brooklyn,574.0
2009-07-17,Queens,983.0
2009-07-17,Staten Island,8966.0
2009-07-18,Queens,835.0
2009-07-18,Staten Island,7809.0
2009-07-19,Queens,826.0
2009-07-19,Staten Island,6595.0
2009-07-20,Queens,5580.0
2009-07-20,Staten Island,1321.0
2009-07-21,Queens,6780.0
2009-07-21,Staten Island,0.0
2009-07-22,Queens,12229.0
2009-07-22,Staten Island,4.0
2009-07-23,Queens,16560.0
2009-07-24,Queens,6778.0
2009-07-27,Queens,9219.0
2009-07-28,Queens,12051.0
2009-07-29,Queens,11327.0
2009-07-30,Queens,12622.0
2009-07-31,Queens,1604.0
2009-08-03,Brooklyn,8278.0
